ROOT	SBARQ
ROOT	.
ROOT	SINV
ROOT	FRAG
ROOT	NP
S	PP , NP VP
S	SBAR , NP VP .
S	`` NP VP .
S	PP NP VP .
S	SBAR , NP VP
S	CC NP VP .
S	NP ADJP
S	S : CC S .
S	NP VP . ''
S	ADVP VP
S	VP .
S	S : S .
S	ADJP
NP	NP , VP
NP	NP ADJP
NP	PDT DT NN
NP	PRP$
NP	NP : NP
NP	NP , SBAR ,
NP	DT NNPS
NP	JJ JJ NNS
NP	NNP NNP POS
NP	QP NNS
NP	DT NN POS
NP	DT JJ JJ NN
NP	DT NN HYPH NN
NP	CD NNS
NP	NNP POS
NP	NP , NP ,
NP	DT NN NN
NP	PRP$ JJ NNS
NP	NP , CC NP
NP	NP NP
NP	JJ
NP	NP NN
NP	DT JJ NNS
NP	DT NNP
NP	DT JJ
NP	DT ADJP NN
NP	PRP$ JJ NN
NP	CD
NP	EX
NP	NP , NP
NP	NP CC NP
NP	NP VP
NP	NP , SBAR
VP	VBN NP PP
VP	VBZ SBAR
VP	VBZ S
VP	VB NP ADVP
VP	VBD NP ADVP
VP	VBN SBAR
VP	VBD PP PP
VP	VBN PP PP
VP	VBP PP
VP	VBD ADVP NP
PP	IN SBAR
PP	IN PP
PP	IN
PP	IN S
ADVP	RB PP
ADVP	RB RB
SBAR	SBAR , CC SBAR
SBAR	WHPP S
SBAR	WHADVP S
